Number	Reaction Type  	Stoichiometry                           	Reaction orders                         	k-forward       	                                  	k-backward	     
    32	Arrhenius      	CH3O* + * <-> CH3* + O*                 	[CH3O*][*] <-> [CH3*][O*]               	1.2040000000e+13	* exp(-1.3160900000e+05/(R*T))    	3.0820000000e+13	* exp(-1.4656400000e+05/(R*T))    
    33	Arrhenius      	CH3O* + H* <-> CH3OH* + *               	[CH3O*][H*] <-> [CH3OH*][*]             	1.3000000000e+14	* exp(-1.3363500000e+05/(R*T))    	6.0520000000e+12	* exp(-9.1663000000e+04/(R*T))    
    34	Arrhenius      	CH3OH* + * <-> CH3* + OH*               	[CH3OH*][*] <-> [CH3*][OH*]             	3.8250000000e+12	* exp(-1.7329100000e+05/(R*T))    	6.1450000000e+13	* exp(-2.0165800000e+05/(R*T))    
    35	Arrhenius      	O* + H* <-> OH* + *                     	[O*][H*] <-> [OH*][*]                   	7.8660000000e+13	* exp(-1.1182900000e+05/(R*T))    	2.8650000000e+13	* exp(-1.0825900000e+05/(R*T))    
    36	Arrhenius      	OH* + H* <-> H2O* + *                   	[OH*][H*] <-> [H2O*][*]                 	1.0300000000e+14	* exp(-1.1153900000e+05/(R*T))    	2.7280000000e+12	* exp(-8.7417000000e+04/(R*T))    
    37	Arrhenius      	OH* + OH* <-> O* + H2O*                 	[OH*][OH*] <-> [O*][H2O*]               	5.2750000000e+12	* exp(-1.7464000000e+04/(R*T))    	2.6080000000e+12	* exp(-3.8595000000e+04/(R*T))    
    38	Arrhenius      	CH4 + 2 * <-> CH3* + H*                 	[CH4][*]^2 <-> [CH3*][H*]               	0.0000000000e+00	* exp(-1.0517100000e+05/(R*T))    	1.1290000000e+14	* exp(-7.6128000000e+04/(R*T))    
    39	Arrhenius      	CH3OH + * <-> CH3OH*                    	[CH3OH][*] <-> [CH3OH*]                 	0.0000000000e+00	* exp(-0.0000000000e+00/(R*T))    	5.6290000000e+15	* exp(-3.0201000000e+04/(R*T))    
    40	Arrhenius      	CH2O + * <-> CH2O*                      	[CH2O][*] <-> [CH2O*]                   	0.0000000000e+00	* exp(-0.0000000000e+00/(R*T))    	7.8920000000e+16	* exp(-4.9016000000e+04/(R*T))    

