Number	Reaction Type  	Stoichiometry                           	Reaction orders                         	k-forward       	                                  	k-backward	     
    17	Arrhenius      	COH* + * <-> CO* + H*                   	[COH*][*] <-> [CO*][H*]                 	9.0730000000e+12	* exp(-1.1655700000e+05/(R*T))    	3.0240000000e+13	* exp(-2.1979800000e+05/(R*T))    
    18	Arrhenius      	COH* + * <-> C* + OH*                   	[COH*][*] <-> [C*][OH*]                 	2.7420000000e+12	* exp(-1.7464200000e+05/(R*T))    	2.3300000000e+13	* exp(-1.1018800000e+05/(R*T))    
    19	Arrhenius      	C* + H* <-> CH* + *                     	[C*][H*] <-> [CH*][*]                   	2.7000000000e+13	* exp(-6.1655000000e+04/(R*T))    	1.9520000000e+13	* exp(-1.2215300000e+05/(R*T))    
    20	Arrhenius      	CH* + H* <-> CH2* + *                   	[CH*][H*] <-> [CH2*][*]                 	4.9260000000e+13	* exp(-6.1462000000e+04/(R*T))    	1.7850000000e+13	* exp(-3.2613000000e+04/(R*T))    
    21	Arrhenius      	CH2* + H* <-> CH3* + *                  	[CH2*][H*] <-> [CH3*][*]                	3.5050000000e+13	* exp(-5.5094000000e+04/(R*T))    	1.7540000000e+13	* exp(-6.5418000000e+04/(R*T))    
    22	Arrhenius      	HCO* + H* <-> CH2O* + *                 	[HCO*][H*] <-> [CH2O*][*]               	1.4190000000e+13	* exp(-6.8216000000e+04/(R*T))    	1.5690000000e+13	* exp(-4.3033000000e+04/(R*T))    
    23	Arrhenius      	HCO* + H* <-> HCOH* + *                 	[HCO*][H*] <-> [HCOH*][*]               	2.1560000000e+13	* exp(-8.9444000000e+04/(R*T))    	8.9350000000e+12	* exp(-4.2251000000e+04/(R*T))    
    24	Arrhenius      	COH* + H* <-> HCOH* + *                 	[COH*][H*] <-> [HCOH*][*]               	7.5940000000e+12	* exp(-7.8830000000e+04/(R*T))    	5.2440000000e+12	* exp(-1.3894000000e+04/(R*T))    
    25	Arrhenius      	HCOH* + * <-> CH* + OH*                 	[HCOH*][*] <-> [CH*][OH*]               	5.3520000000e+12	* exp(-6.9085000000e+04/(R*T))    	2.5560000000e+13	* exp(-1.1501300000e+05/(R*T))    
    26	Arrhenius      	HCOH* + H* <-> CH2OH* + *               	[HCOH*][H*] <-> [CH2OH*][*]             	1.4230000000e+13	* exp(-6.0401000000e+04/(R*T))    	1.0270000000e+13	* exp(-3.9656000000e+04/(R*T))    
    27	Arrhenius      	CH2OH* + * <-> CH2* + OH*               	[CH2OH*][*] <-> [CH2*][OH*]             	2.7840000000e+13	* exp(-6.8892000000e+04/(R*T))    	3.8070000000e+13	* exp(-9.7645000000e+04/(R*T))    
    28	Arrhenius      	CH2OH* + H* <-> CH3OH* + *              	[CH2OH*][H*] <-> [CH3OH*][*]            	2.2120000000e+13	* exp(-5.8761000000e+04/(R*T))    	1.0700000000e+12	* exp(-9.9671000000e+04/(R*T))    
    29	Arrhenius      	CH2O* + H* <-> CH2OH* + *               	[CH2O*][H*] <-> [CH2OH*][*]             	4.9410000000e+13	* exp(-8.3172000000e+04/(R*T))    	1.6020000000e+13	* exp(-5.2875000000e+04/(R*T))    
    30	Arrhenius      	CH2O* + * <-> CH2* + O*                 	[CH2O*][*] <-> [CH2*][O*]               	1.6550000000e+13	* exp(-9.2912000000e+04/(R*T))    	1.7660000000e+13	* exp(-1.3170500000e+05/(R*T))    
    31	Arrhenius      	CH2O* + H* <-> CH3O* + *                	[CH2O*][H*] <-> [CH3O*][*]              	3.0320000000e+13	* exp(-3.3192000000e+04/(R*T))    	1.4620000000e+13	* exp(-7.7576000000e+04/(R*T))    
    32	Arrhenius      	CH3O* + * <-> CH3* + O*                 	[CH3O*][*] <-> [CH3*][O*]               	1.4360000000e+13	* exp(-1.3160900000e+05/(R*T))    	3.3780000000e+13	* exp(-1.4656400000e+05/(R*T))    
    33	Arrhenius      	CH3O* + H* <-> CH3OH* + *               	[CH3O*][H*] <-> [CH3OH*][*]             	1.5180000000e+14	* exp(-1.3363500000e+05/(R*T))    	6.5460000000e+12	* exp(-9.1663000000e+04/(R*T))    
    34	Arrhenius      	CH3OH* + * <-> CH3* + OH*               	[CH3OH*][*] <-> [CH3*][OH*]             	4.4820000000e+12	* exp(-1.7329100000e+05/(R*T))    	6.6200000000e+13	* exp(-2.0165800000e+05/(R*T))    
    35	Arrhenius      	O* + H* <-> OH* + *                     	[O*][H*] <-> [OH*][*]                   	8.7830000000e+13	* exp(-1.1182900000e+05/(R*T))    	2.9400000000e+13	* exp(-1.0825900000e+05/(R*T))    
    36	Arrhenius      	OH* + H* <-> H2O* + *                   	[OH*][H*] <-> [H2O*][*]                 	1.2000000000e+14	* exp(-1.1153900000e+05/(R*T))    	2.8100000000e+12	* exp(-8.7417000000e+04/(R*T))    
    37	Arrhenius      	OH* + OH* <-> O* + H2O*                 	[OH*][OH*] <-> [O*][H2O*]               	4.5960000000e+12	* exp(-1.7464000000e+04/(R*T))    	2.4160000000e+12	* exp(-3.8595000000e+04/(R*T))    
    38	Arrhenius      	CH4 + 2 * <-> CH3* + H*                 	[CH4][*]^2 <-> [CH3*][H*]               	0.0000000000e+00	* exp(-1.0517100000e+05/(R*T))    	1.3380000000e+14	* exp(-7.6128000000e+04/(R*T))    
    39	Arrhenius      	CH3OH + * <-> CH3OH*                    	[CH3OH][*] <-> [CH3OH*]                 	0.0000000000e+00	* exp(-0.0000000000e+00/(R*T))    	4.3520000000e+15	* exp(-3.0201000000e+04/(R*T))    
    40	Arrhenius      	CH2O + * <-> CH2O*                      	[CH2O][*] <-> [CH2O*]                   	0.0000000000e+00	* exp(-0.0000000000e+00/(R*T))    	6.8630000000e+16	* exp(-4.9016000000e+04/(R*T))    

